"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Cameroon","From combustible fuels – Main activity","1996","Kilowatt-hours, million","88","1"
"Cameroon","From combustible fuels – Main activity","1995","Kilowatt-hours, million","84","1"
"Cameroon","From combustible fuels – Main activity","1994","Kilowatt-hours, million","82","1"
"Cameroon","From combustible fuels – Main activity","1993","Kilowatt-hours, million","78","1"
"Cameroon","From combustible fuels – Main activity","1992","Kilowatt-hours, million","75","1"
"Cameroon","From combustible fuels – Main activity","1991","Kilowatt-hours, million","72","1"
"Cameroon","From combustible fuels – Main activity","1990","Kilowatt-hours, million","70","1"
"Cameroon","From combustible fuels – Main activity – Electricity plants","2019","Kilowatt-hours, million","237.183",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2018","Kilowatt-hours, million","293.182",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2017","Kilowatt-hours, million","285.557",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2016","Kilowatt-hours, million","278",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2015","Kilowatt-hours, million","379",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2014","Kilowatt-hours, million","413",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2013","Kilowatt-hours, million","370",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2012","Kilowatt-hours, million","317",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2011","Kilowatt-hours, million","398",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2010","Kilowatt-hours, million","370",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2009","Kilowatt-hours, million","435",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2008","Kilowatt-hours, million","270",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2007","Kilowatt-hours, million","409",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2006","Kilowatt-hours, million","255",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2005","Kilowatt-hours, million","232",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2004","Kilowatt-hours, million","190",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2003","Kilowatt-hours, million","156",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2002","Kilowatt-hours, million","118",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2001","Kilowatt-hours, million","67",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","2000","Kilowatt-hours, million","38",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","1999","Kilowatt-hours, million","42",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","1998","Kilowatt-hours, million","52",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","1997","Kilowatt-hours, million","36",""
"Cameroon","From combustible fuels – Main activity – Electricity plants","1996","Kilowatt-hours, million","88","1"
"Cameroon","From combustible fuels – Main activity – Electricity plants","1995","Kilowatt-hours, million","84","1"
"Cameroon","From combustible fuels – Main activity – Electricity plants","1994","Kilowatt-hours, million","82","1"
"Cameroon","From combustible fuels – Main activity – Electricity plants","1993","Kilowatt-hours, million","78","1"
"Cameroon","From combustible fuels – Main activity – Electricity plants","1992","Kilowatt-hours, million","75","1"
"Cameroon","From combustible fuels – Main activity – Electricity plants","1991","Kilowatt-hours, million","72","1"
"Cameroon","From combustible fuels – Main activity – Electricity plants","1990","Kilowatt-hours, million","70","1"
"Cameroon","Hydro – Main activity","2019","Kilowatt-hours, million","5229.445",""
"Cameroon","Hydro – Main activity","2018","Kilowatt-hours, million","5023",""
"Cameroon","Hydro – Main activity","2017","Kilowatt-hours, million","5089.9",""
"Cameroon","Hydro – Main activity","2016","Kilowatt-hours, million","4752",""
"Cameroon","Hydro – Main activity","2015","Kilowatt-hours, million","4359",""
"Cameroon","Hydro – Main activity","2014","Kilowatt-hours, million","4373",""
"Cameroon","Hydro – Main activity","2013","Kilowatt-hours, million","4373",""
"Cameroon","Hydro – Main activity","2012","Kilowatt-hours, million","4256",""
"Cameroon","Hydro – Main activity","2011","Kilowatt-hours, million","4397",""
"Cameroon","Hydro – Main activity","2010","Kilowatt-hours, million","4260",""
"Cameroon","Hydro – Main activity","2009","Kilowatt-hours, million","4016",""
"Cameroon","Hydro – Main activity","2008","Kilowatt-hours, million","4232",""
"Cameroon","Hydro – Main activity","2007","Kilowatt-hours, million","3847",""
"Cameroon","Hydro – Main activity","2006","Kilowatt-hours, million","3892",""
"Cameroon","Hydro – Main activity","2005","Kilowatt-hours, million","3772",""
"Cameroon","Hydro – Main activity","2004","Kilowatt-hours, million","3920",""
"Cameroon","Hydro – Main activity","2003","Kilowatt-hours, million","3528",""
"Cameroon","Hydro – Main activity","2002","Kilowatt-hours, million","3182",""
"Cameroon","Hydro – Main activity","2001","Kilowatt-hours, million","3474",""
"Cameroon","Hydro – Main activity","2000","Kilowatt-hours, million","3442",""
"Cameroon","Hydro – Main activity","1999","Kilowatt-hours, million","3334",""
"Cameroon","Hydro – Main activity","1998","Kilowatt-hours, million","3116",""
"Cameroon","Hydro – Main activity","1997","Kilowatt-hours, million","3092",""
"Cameroon","Hydro – Main activity","1996","Kilowatt-hours, million","2868",""
"Cameroon","Hydro – Main activity","1995","Kilowatt-hours, million","2753",""
"Cameroon","Hydro – Main activity","1994","Kilowatt-hours, million","2688",""
"Cameroon","Hydro – Main activity","1993","Kilowatt-hours, million","2802",""
"Cameroon","Hydro – Main activity","1992","Kilowatt-hours, million","2702",""
"Cameroon","Hydro – Main activity","1991","Kilowatt-hours, million","2671",""
"Cameroon","Hydro – Main activity","1990","Kilowatt-hours, million","2656",""
"Cameroon","Solar – Main activity","2019","Kilowatt-hours, million","19.496",""
"Cameroon","Solar – Main activity","2018","Kilowatt-hours, million","19.496",""
"Cameroon","Solar – Main activity","2017","Kilowatt-hours, million","15.93",""
"Cameroon","Solar – Main activity","2016","Kilowatt-hours, million","12",""
"Cameroon","Solar – Main activity","2015","Kilowatt-hours, million","10",""
"Cameroon","Solar – Main activity","2014","Kilowatt-hours, million","8",""
"Cameroon","Solar – Main activity","2013","Kilowatt-hours, million","5",""
"Cameroon","Solar – Main activity","2012","Kilowatt-hours, million","4",""
"Cameroon","Solar – Main activity","2011","Kilowatt-hours, million","3",""
"Cameroon","Solar – Main activity","2010","Kilowatt-hours, million","1",""
"Cameroon","Solar – Main activity","2009","Kilowatt-hours, million","1",""
"Cameroon","Solar photovoltaic – Main activity","2019","Kilowatt-hours, million","19.496",""
"Cameroon","Solar photovoltaic – Main activity","2018","Kilowatt-hours, million","19.496",""
"Cameroon","Solar photovoltaic – Main activity","2017","Kilowatt-hours, million","15.93",""
"Cameroon","Solar photovoltaic – Main activity","2016","Kilowatt-hours, million","12",""
"Cameroon","Solar photovoltaic – Main activity","2015","Kilowatt-hours, million","10",""
"Cameroon","Solar photovoltaic – Main activity","2014","Kilowatt-hours, million","8",""
"Cameroon","Solar photovoltaic – Main activity","2013","Kilowatt-hours, million","5",""
"Cameroon","Solar photovoltaic – Main activity","2012","Kilowatt-hours, million","4",""
"Cameroon","Solar photovoltaic – Main activity","2011","Kilowatt-hours, million","3",""
"Cameroon","Solar photovoltaic – Main activity","2010","Kilowatt-hours, million","1",""
"Cameroon","Solar photovoltaic – Main activity","2009","Kilowatt-hours, million","1",""
"Cameroon","From combustible fuels – Autoproducer","2019","Kilowatt-hours, million","2990.23",""
"Cameroon","From combustible fuels – Autoproducer","2018","Kilowatt-hours, million","3245.391",""
"Cameroon","From combustible fuels – Autoproducer","2017","Kilowatt-hours, million","2690.405",""
"Cameroon","From combustible fuels – Autoproducer","2016","Kilowatt-hours, million","2489",""
"Cameroon","From combustible fuels – Autoproducer","2015","Kilowatt-hours, million","3237",""
"Cameroon","From combustible fuels – Autoproducer","2014","Kilowatt-hours, million","2133",""
"Cameroon","From combustible fuels – Autoproducer","2013","Kilowatt-hours, million","1637",""
"Cameroon","From combustible fuels – Autoproducer","2012","Kilowatt-hours, million","911",""
"Cameroon","From combustible fuels – Autoproducer","2011","Kilowatt-hours, million","1126",""
"Cameroon","From combustible fuels – Autoproducer","2010","Kilowatt-hours, million","1269",""
"Cameroon","From combustible fuels – Autoproducer","2009","Kilowatt-hours, million","1332",""
"Cameroon","From combustible fuels – Autoproducer","2008","Kilowatt-hours, million","1179",""
"Cameroon","From combustible fuels – Autoproducer","2007","Kilowatt-hours, million","987",""
"Cameroon","From combustible fuels – Autoproducer","2006","Kilowatt-hours, million","959",""
"Cameroon","From combustible fuels – Autoproducer","2005","Kilowatt-hours, million","0",""
"Cameroon","From combustible fuels – Autoproducer","1996","Kilowatt-hours, million","7","1"
"Cameroon","From combustible fuels – Autoproducer","1995","Kilowatt-hours, million","7","1"
"Cameroon","From combustible fuels – Autoproducer","1994","Kilowatt-hours, million","6","1"
"Cameroon","From combustible fuels – Autoproducer","1993","Kilowatt-hours, million","5","1"
"Cameroon","From combustible fuels – Autoproducer","1992","Kilowatt-hours, million","5","1"
"Cameroon","From combustible fuels – Autoproducer","1991","Kilowatt-hours, million","3","1"
"Cameroon","From combustible fuels – Autoproducer","1990","Kilowatt-hours, million","5","1"
"Cameroon","From combustible fuels – Autoproducer – Electricity plants","2019","Kilowatt-hours, million","2990.23",""
"Cameroon","From combustible fuels – Autoproducer – Electricity plants","2018","Kilowatt-hours, million","3245.391",""
"Cameroon","From combustible fuels – Autoproducer – Electricity plants","2017","Kilowatt-hours, million","2690.405",""
"Cameroon","From combustible fuels – Autoproducer – Electricity plants","2016","Kilowatt-hours, million","2489",""
"Cameroon","From combustible fuels – Autoproducer – Electricity plants","2015","Kilowatt-hours, million","3237",""
"Cameroon","From combustible fuels – Autoproducer – Electricity plants","2014","Kilowatt-hours, million","2133",""
"Cameroon","From combustible fuels – Autoproducer – Electricity plants","2013","Kilowatt-hours, million","1637",""
"Cameroon","From combustible fuels – Autoproducer – Electricity plants","2012","Kilowatt-hours, million","911",""
"Cameroon","From combustible fuels – Autoproducer – Electricity plants","2011","Kilowatt-hours, million","1126",""
"Cameroon","From combustible fuels – Autoproducer – Electricity plants","2010","Kilowatt-hours, million","1269",""
"Cameroon","From combustible fuels – Autoproducer – Electricity plants","2009","Kilowatt-hours, million","1332",""
"Cameroon","From combustible fuels – Autoproducer – Electricity plants","2008","Kilowatt-hours, million","1179",""
"Cameroon","From combustible fuels – Autoproducer – Electricity plants","2007","Kilowatt-hours, million","987",""
"Cameroon","From combustible fuels – Autoproducer – Electricity plants","2006","Kilowatt-hours, million","959",""
"Cameroon","Hydro – Autoproducer","1995","Kilowatt-hours, million","0",""
"Cameroon","Hydro – Autoproducer","1994","Kilowatt-hours, million","0",""
"Cameroon","Hydro – Autoproducer","1993","Kilowatt-hours, million","0",""
"Cameroon","Hydro – Autoproducer","1992","Kilowatt-hours, million","0",""
"Cameroon","Hydro – Autoproducer","1991","Kilowatt-hours, million","0",""
"Cameroon","Hydro – Autoproducer","1990","Kilowatt-hours, million","0",""
"Cameroon","Electricity - net production","2019","Kilowatt-hours, million","8228.738",""
"Cameroon","Electricity - net production","2018","Kilowatt-hours, million","8330.394",""
"Cameroon","Electricity - net production","2017","Kilowatt-hours, million","7845.702",""
"Cameroon","Electricity - net production","2016","Kilowatt-hours, million","7311",""
"Cameroon","Electricity - net production","2015","Kilowatt-hours, million","7752",""
"Cameroon","Electricity - net production","2014","Kilowatt-hours, million","6867",""
"Cameroon","Electricity - net production","2013","Kilowatt-hours, million","6333",""
"Cameroon","Electricity - net production","2012","Kilowatt-hours, million","5447",""
"Cameroon","Electricity - net production","2011","Kilowatt-hours, million","5871",""
"Cameroon","Electricity - net production","2010","Kilowatt-hours, million","5443",""
"Cameroon","Electricity - net production","2009","Kilowatt-hours, million","5202",""
"Cameroon","Electricity - net production","2008","Kilowatt-hours, million","5197",""
"Cameroon","Electricity - net production","2007","Kilowatt-hours, million","4707",""
"Cameroon","Electricity - net production","2006","Kilowatt-hours, million","4866",""
"Cameroon","Electricity - net production","2005","Kilowatt-hours, million","4004",""
"Cameroon","Electricity - net production","2004","Kilowatt-hours, million","4110",""
"Cameroon","Electricity - net production","2003","Kilowatt-hours, million","3684",""
"Cameroon","Electricity - net production","2002","Kilowatt-hours, million","3300",""
"Cameroon","Electricity - net production","2001","Kilowatt-hours, million","3541",""
"Cameroon","Electricity - net production","2000","Kilowatt-hours, million","3480",""
"Cameroon","Electricity - net production","1999","Kilowatt-hours, million","3376",""
"Cameroon","Electricity - net production","1998","Kilowatt-hours, million","3168",""
"Cameroon","Electricity - net production","1997","Kilowatt-hours, million","3115",""
"Cameroon","Electricity - net production","1996","Kilowatt-hours, million","2950",""
"Cameroon","Electricity - net production","1995","Kilowatt-hours, million","2832",""
"Cameroon","Electricity - net production","1994","Kilowatt-hours, million","2765",""
"Cameroon","Electricity - net production","1993","Kilowatt-hours, million","2867",""
"Cameroon","Electricity - net production","1992","Kilowatt-hours, million","2767",""
"Cameroon","Electricity - net production","1991","Kilowatt-hours, million","2731",""
"Cameroon","Electricity - net production","1990","Kilowatt-hours, million","2716",""
"Cameroon","Electricity - imports","2019","Kilowatt-hours, million","19.134",""
"Cameroon","Electricity - imports","2018","Kilowatt-hours, million","19.37",""
"Cameroon","Electricity - imports","2017","Kilowatt-hours, million","18.243",""
"Cameroon","Electricity - imports","2016","Kilowatt-hours, million","17",""
"Cameroon","Electricity - imports","2015","Kilowatt-hours, million","18",""
"Cameroon","Electricity - imports","2014","Kilowatt-hours, million","729",""
"Cameroon","Electricity - imports","2013","Kilowatt-hours, million","754",""
"Cameroon","Electricity - imports","2012","Kilowatt-hours, million","1125",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2019","Kilowatt-hours, million","247.616",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2018","Kilowatt-hours, million","250.674999999999",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2017","Kilowatt-hours, million","236.089999999999",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2016","Kilowatt-hours, million","220",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2015","Kilowatt-hours, million","233",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2014","Kilowatt-hours, million","60",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2013","Kilowatt-hours, million","52",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2012","Kilowatt-hours, million","41",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2011","Kilowatt-hours, million","53",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2010","Kilowatt-hours, million","457",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2009","Kilowatt-hours, million","582",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2008","Kilowatt-hours, million","484",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2007","Kilowatt-hours, million","536",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2006","Kilowatt-hours, million","240",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2005","Kilowatt-hours, million","0",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2004","Kilowatt-hours, million","0",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2003","Kilowatt-hours, million","0",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2002","Kilowatt-hours, million","0",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2001","Kilowatt-hours, million","0",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","2000","Kilowatt-hours, million","0",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","1999","Kilowatt-hours, million","0",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","1998","Kilowatt-hours, million","0",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","1997","Kilowatt-hours, million","13",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","1996","Kilowatt-hours, million","13",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","1995","Kilowatt-hours, million","12",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","1994","Kilowatt-hours, million","11",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","1993","Kilowatt-hours, million","18",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","1992","Kilowatt-hours, million","15",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","1991","Kilowatt-hours, million","15",""
"Cameroon","Electricity - Own use by electricity, heat and CHP plants","1990","Kilowatt-hours, million","15",""
"Cameroon","Electricity - Losses","2019","Kilowatt-hours, million","1863.81",""
"Cameroon","Electricity - Losses","2018","Kilowatt-hours, million","1805.042",""
"Cameroon","Electricity - Losses","2017","Kilowatt-hours, million","1790",""
"Cameroon","Electricity - Losses","2016","Kilowatt-hours, million","1693",""
"Cameroon","Electricity - Losses","2015","Kilowatt-hours, million","1663",""
"Cameroon","Electricity - Losses","2014","Kilowatt-hours, million","2114",""
"Cameroon","Electricity - Losses","2013","Kilowatt-hours, million","1879",""
"Cameroon","Electricity - Losses","2012","Kilowatt-hours, million","1602",""
"Cameroon","Electricity - Losses","2011","Kilowatt-hours, million","1091",""
"Cameroon","Electricity - Losses","2010","Kilowatt-hours, million","580",""
"Cameroon","Electricity - Losses","2009","Kilowatt-hours, million","540",""
"Cameroon","Electricity - Losses","2008","Kilowatt-hours, million","538",""
"Cameroon","Electricity - Losses","2007","Kilowatt-hours, million","490",""
"Cameroon","Electricity - Losses","2006","Kilowatt-hours, million","629",""
"Cameroon","Electricity - Losses","2005","Kilowatt-hours, million","698",""
"Cameroon","Electricity - Losses","2004","Kilowatt-hours, million","790",""
"Cameroon","Electricity - Losses","2003","Kilowatt-hours, million","877",""
"Cameroon","Electricity - Losses","2002","Kilowatt-hours, million","763",""
"Cameroon","Electricity - Losses","2001","Kilowatt-hours, million","909",""
"Cameroon","Electricity - Losses","2000","Kilowatt-hours, million","761",""
"Cameroon","Electricity - Losses","1999","Kilowatt-hours, million","695",""
"Cameroon","Electricity - Losses","1998","Kilowatt-hours, million","629",""
"Cameroon","Electricity - Losses","1997","Kilowatt-hours, million","286","1"
"Cameroon","Electricity - Losses","1996","Kilowatt-hours, million","275","1"
"Cameroon","Electricity - Losses","1995","Kilowatt-hours, million","215","1"
"Cameroon","Electricity - Losses","1994","Kilowatt-hours, million","175","1"
"Cameroon","Electricity - Losses","1993","Kilowatt-hours, million","134","1"
"Cameroon","Electricity - Losses","1992","Kilowatt-hours, million","112","1"
"Cameroon","Electricity - Losses","1991","Kilowatt-hours, million","110","1"
"Cameroon","Electricity - Losses","1990","Kilowatt-hours, million","108","1"
"Cameroon","Electricity - Final energy consumption","2019","Kilowatt-hours, million","6484.169",""
"Cameroon","Electricity - Final energy consumption","2018","Kilowatt-hours, million","6564.273",""
"Cameroon","Electricity - Final energy consumption","2017","Kilowatt-hours, million","6182.341",""
"Cameroon","Electricity - Final energy consumption","2016","Kilowatt-hours, million","5761",""
"Cameroon","Electricity - Final energy consumption","2015","Kilowatt-hours, million","6107",""
"Cameroon","Electricity - Final energy consumption","2014","Kilowatt-hours, million","5483",""
"Cameroon","Electricity - Final energy consumption","2013","Kilowatt-hours, million","5208",""
"Cameroon","Electricity - Final energy consumption","2012","Kilowatt-hours, million","4970",""
"Cameroon","Electricity - Final energy consumption","2011","Kilowatt-hours, million","4770",""
"Cameroon","Electricity - Final energy consumption","2010","Kilowatt-hours, million","4863",""
"Cameroon","Electricity - Final energy consumption","2009","Kilowatt-hours, million","4662",""
"Cameroon","Electricity - Final energy consumption","2008","Kilowatt-hours, million","4659",""
"Cameroon","Electricity - Final energy consumption","2007","Kilowatt-hours, million","4217",""
"Cameroon","Electricity - Final energy consumption","2006","Kilowatt-hours, million","4237",""
"Cameroon","Electricity - Final energy consumption","2005","Kilowatt-hours, million","3306",""
"Cameroon","Electricity - Final energy consumption","2004","Kilowatt-hours, million","3320",""
"Cameroon","Electricity - Final energy consumption","2003","Kilowatt-hours, million","2807",""
"Cameroon","Electricity - Final energy consumption","2002","Kilowatt-hours, million","2537",""
"Cameroon","Electricity - Final energy consumption","2001","Kilowatt-hours, million","2632",""
"Cameroon","Electricity - Final energy consumption","2000","Kilowatt-hours, million","2719",""
"Cameroon","Electricity - Final energy consumption","1999","Kilowatt-hours, million","2681",""
"Cameroon","Electricity - Final energy consumption","1998","Kilowatt-hours, million","2539",""
"Cameroon","Electricity - Final energy consumption","1997","Kilowatt-hours, million","2860",""
"Cameroon","Electricity - Final energy consumption","1996","Kilowatt-hours, million","2675","1"
"Cameroon","Electricity - Final energy consumption","1995","Kilowatt-hours, million","2617","1"
"Cameroon","Electricity - Final energy consumption","1994","Kilowatt-hours, million","2590","1"
"Cameroon","Electricity - Final energy consumption","1993","Kilowatt-hours, million","2733","1"
"Cameroon","Electricity - Final energy consumption","1992","Kilowatt-hours, million","2655","1"
"Cameroon","Electricity - Final energy consumption","1991","Kilowatt-hours, million","2620","1"
"Cameroon","Electricity - Final energy consumption","1990","Kilowatt-hours, million","2608","1"
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2019","Kilowatt-hours, million","3618.574",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2018","Kilowatt-hours, million","3663.277",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2017","Kilowatt-hours, million","3450.135",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2016","Kilowatt-hours, million","3215",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2015","Kilowatt-hours, million","3408",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2014","Kilowatt-hours, million","3005",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2013","Kilowatt-hours, million","2836",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2012","Kilowatt-hours, million","2691",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2011","Kilowatt-hours, million","2573",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2010","Kilowatt-hours, million","2781",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2009","Kilowatt-hours, million","2720",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2008","Kilowatt-hours, million","2712",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2007","Kilowatt-hours, million","2509",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2006","Kilowatt-hours, million","2570",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2005","Kilowatt-hours, million","1485",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2004","Kilowatt-hours, million","1393",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2003","Kilowatt-hours, million","1266",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2002","Kilowatt-hours, million","1118",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2001","Kilowatt-hours, million","1430",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","2000","Kilowatt-hours, million","1516",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","1999","Kilowatt-hours, million","1437",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","1998","Kilowatt-hours, million","1310",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","1997","Kilowatt-hours, million","1750",""
"Cameroon","Electricity - Consumption by manufacturing, construction and non-fuel industry","1996","Kilowatt-hours, million","1606","1"
